	First Fixation Duration_14_5_car-front-seat.png_face_N	First Fixation Duration_14_5_car-front-seat.png_face_Mean	First Fixation Duration_14_5_car-front-seat.png_face_Max	First Fixation Duration_14_5_car-front-seat.png_face_Min	First Fixation Duration_14_5_car-front-seat.png_face_Sum	First Fixation Duration_14_5_car-front-seat.png_face_Median	First Fixation Duration_14_5_car-front-seat.png_face_Stdev	First Fixation Duration_14_5_car-front-seat.png_Rectangle 2_N	First Fixation Duration_14_5_car-front-seat.png_Rectangle 2_Mean	First Fixation Duration_14_5_car-front-seat.png_Rectangle 2_Max	First Fixation Duration_14_5_car-front-seat.png_Rectangle 2_Min	First Fixation Duration_14_5_car-front-seat.png_Rectangle 2_Sum	First Fixation Duration_14_5_car-front-seat.png_Rectangle 2_Median	First Fixation Duration_14_5_car-front-seat.png_Rectangle 2_Stdev	First Fixation Duration_14_5_car-front-seat.png_Not on AOI_N	First Fixation Duration_14_5_car-front-seat.png_Not on AOI_Mean	First Fixation Duration_14_5_car-front-seat.png_Not on AOI_Max	First Fixation Duration_14_5_car-front-seat.png_Not on AOI_Min	First Fixation Duration_14_5_car-front-seat.png_Not on AOI_Sum	First Fixation Duration_14_5_car-front-seat.png_Not on AOI_Median	First Fixation Duration_14_5_car-front-seat.png_Not on AOI_Stdev	First Fixation Duration_16_1_kitchen.png_face_N	First Fixation Duration_16_1_kitchen.png_face_Mean	First Fixation Duration_16_1_kitchen.png_face_Max	First Fixation Duration_16_1_kitchen.png_face_Min	First Fixation Duration_16_1_kitchen.png_face_Sum	First Fixation Duration_16_1_kitchen.png_face_Median	First Fixation Duration_16_1_kitchen.png_face_Stdev	First Fixation Duration_16_1_kitchen.png_Rectangle 2_N	First Fixation Duration_16_1_kitchen.png_Rectangle 2_Mean	First Fixation Duration_16_1_kitchen.png_Rectangle 2_Max	First Fixation Duration_16_1_kitchen.png_Rectangle 2_Min	First Fixation Duration_16_1_kitchen.png_Rectangle 2_Sum	First Fixation Duration_16_1_kitchen.png_Rectangle 2_Median	First Fixation Duration_16_1_kitchen.png_Rectangle 2_Stdev	First Fixation Duration_16_1_kitchen.png_Not on AOI_N	First Fixation Duration_16_1_kitchen.png_Not on AOI_Mean	First Fixation Duration_16_1_kitchen.png_Not on AOI_Max	First Fixation Duration_16_1_kitchen.png_Not on AOI_Min	First Fixation Duration_16_1_kitchen.png_Not on AOI_Sum	First Fixation Duration_16_1_kitchen.png_Not on AOI_Median	First Fixation Duration_16_1_kitchen.png_Not on AOI_Stdev	First Fixation Duration_20_4_floor-cleaner.png_face_N	First Fixation Duration_20_4_floor-cleaner.png_face_Mean	First Fixation Duration_20_4_floor-cleaner.png_face_Max	First Fixation Duration_20_4_floor-cleaner.png_face_Min	First Fixation Duration_20_4_floor-cleaner.png_face_Sum	First Fixation Duration_20_4_floor-cleaner.png_face_Median	First Fixation Duration_20_4_floor-cleaner.png_face_Stdev	First Fixation Duration_20_4_floor-cleaner.png_Rectangle 2_N	First Fixation Duration_20_4_floor-cleaner.png_Rectangle 2_Mean	First Fixation Duration_20_4_floor-cleaner.png_Rectangle 2_Max	First Fixation Duration_20_4_floor-cleaner.png_Rectangle 2_Min	First Fixation Duration_20_4_floor-cleaner.png_Rectangle 2_Sum	First Fixation Duration_20_4_floor-cleaner.png_Rectangle 2_Median	First Fixation Duration_20_4_floor-cleaner.png_Rectangle 2_Stdev	First Fixation Duration_20_4_floor-cleaner.png_Not on AOI_N	First Fixation Duration_20_4_floor-cleaner.png_Not on AOI_Mean	First Fixation Duration_20_4_floor-cleaner.png_Not on AOI_Max	First Fixation Duration_20_4_floor-cleaner.png_Not on AOI_Min	First Fixation Duration_20_4_floor-cleaner.png_Not on AOI_Sum	First Fixation Duration_20_4_floor-cleaner.png_Not on AOI_Median	First Fixation Duration_20_4_floor-cleaner.png_Not on AOI_Stdev	First Fixation Duration_28_7_coffee.png_face_N	First Fixation Duration_28_7_coffee.png_face_Mean	First Fixation Duration_28_7_coffee.png_face_Max	First Fixation Duration_28_7_coffee.png_face_Min	First Fixation Duration_28_7_coffee.png_face_Sum	First Fixation Duration_28_7_coffee.png_face_Median	First Fixation Duration_28_7_coffee.png_face_Stdev	First Fixation Duration_28_7_coffee.png_Rectangle 2_N	First Fixation Duration_28_7_coffee.png_Rectangle 2_Mean	First Fixation Duration_28_7_coffee.png_Rectangle 2_Max	First Fixation Duration_28_7_coffee.png_Rectangle 2_Min	First Fixation Duration_28_7_coffee.png_Rectangle 2_Sum	First Fixation Duration_28_7_coffee.png_Rectangle 2_Median	First Fixation Duration_28_7_coffee.png_Rectangle 2_Stdev	First Fixation Duration_28_7_coffee.png_Not on AOI_N	First Fixation Duration_28_7_coffee.png_Not on AOI_Mean	First Fixation Duration_28_7_coffee.png_Not on AOI_Max	First Fixation Duration_28_7_coffee.png_Not on AOI_Min	First Fixation Duration_28_7_coffee.png_Not on AOI_Sum	First Fixation Duration_28_7_coffee.png_Not on AOI_Median	First Fixation Duration_28_7_coffee.png_Not on AOI_Stdev	First Fixation Duration_31_8_instrument.png_face_N	First Fixation Duration_31_8_instrument.png_face_Mean	First Fixation Duration_31_8_instrument.png_face_Max	First Fixation Duration_31_8_instrument.png_face_Min	First Fixation Duration_31_8_instrument.png_face_Sum	First Fixation Duration_31_8_instrument.png_face_Median	First Fixation Duration_31_8_instrument.png_face_Stdev	First Fixation Duration_31_8_instrument.png_Rectangle 3_N	First Fixation Duration_31_8_instrument.png_Rectangle 3_Mean	First Fixation Duration_31_8_instrument.png_Rectangle 3_Max	First Fixation Duration_31_8_instrument.png_Rectangle 3_Min	First Fixation Duration_31_8_instrument.png_Rectangle 3_Sum	First Fixation Duration_31_8_instrument.png_Rectangle 3_Median	First Fixation Duration_31_8_instrument.png_Rectangle 3_Stdev	First Fixation Duration_31_8_instrument.png_Not on AOI_N	First Fixation Duration_31_8_instrument.png_Not on AOI_Mean	First Fixation Duration_31_8_instrument.png_Not on AOI_Max	First Fixation Duration_31_8_instrument.png_Not on AOI_Min	First Fixation Duration_31_8_instrument.png_Not on AOI_Sum	First Fixation Duration_31_8_instrument.png_Not on AOI_Median	First Fixation Duration_31_8_instrument.png_Not on AOI_Stdev	First Fixation Duration_35_3_house.png_face_N	First Fixation Duration_35_3_house.png_face_Mean	First Fixation Duration_35_3_house.png_face_Max	First Fixation Duration_35_3_house.png_face_Min	First Fixation Duration_35_3_house.png_face_Sum	First Fixation Duration_35_3_house.png_face_Median	First Fixation Duration_35_3_house.png_face_Stdev	First Fixation Duration_35_3_house.png_Rectangle 2_N	First Fixation Duration_35_3_house.png_Rectangle 2_Mean	First Fixation Duration_35_3_house.png_Rectangle 2_Max	First Fixation Duration_35_3_house.png_Rectangle 2_Min	First Fixation Duration_35_3_house.png_Rectangle 2_Sum	First Fixation Duration_35_3_house.png_Rectangle 2_Median	First Fixation Duration_35_3_house.png_Rectangle 2_Stdev	First Fixation Duration_35_3_house.png_Not on AOI_N	First Fixation Duration_35_3_house.png_Not on AOI_Mean	First Fixation Duration_35_3_house.png_Not on AOI_Max	First Fixation Duration_35_3_house.png_Not on AOI_Min	First Fixation Duration_35_3_house.png_Not on AOI_Sum	First Fixation Duration_35_3_house.png_Not on AOI_Median	First Fixation Duration_35_3_house.png_Not on AOI_Stdev	First Fixation Duration_37_10_boat.jpg_face_N	First Fixation Duration_37_10_boat.jpg_face_Mean	First Fixation Duration_37_10_boat.jpg_face_Max	First Fixation Duration_37_10_boat.jpg_face_Min	First Fixation Duration_37_10_boat.jpg_face_Sum	First Fixation Duration_37_10_boat.jpg_face_Median	First Fixation Duration_37_10_boat.jpg_face_Stdev	First Fixation Duration_37_10_boat.jpg_Rectangle 2_N	First Fixation Duration_37_10_boat.jpg_Rectangle 2_Mean	First Fixation Duration_37_10_boat.jpg_Rectangle 2_Max	First Fixation Duration_37_10_boat.jpg_Rectangle 2_Min	First Fixation Duration_37_10_boat.jpg_Rectangle 2_Sum	First Fixation Duration_37_10_boat.jpg_Rectangle 2_Median	First Fixation Duration_37_10_boat.jpg_Rectangle 2_Stdev	First Fixation Duration_37_10_boat.jpg_Not on AOI_N	First Fixation Duration_37_10_boat.jpg_Not on AOI_Mean	First Fixation Duration_37_10_boat.jpg_Not on AOI_Max	First Fixation Duration_37_10_boat.jpg_Not on AOI_Min	First Fixation Duration_37_10_boat.jpg_Not on AOI_Sum	First Fixation Duration_37_10_boat.jpg_Not on AOI_Median	First Fixation Duration_37_10_boat.jpg_Not on AOI_Stdev	First Fixation Duration_39_2_car-inside.png_face_N	First Fixation Duration_39_2_car-inside.png_face_Mean	First Fixation Duration_39_2_car-inside.png_face_Max	First Fixation Duration_39_2_car-inside.png_face_Min	First Fixation Duration_39_2_car-inside.png_face_Sum	First Fixation Duration_39_2_car-inside.png_face_Median	First Fixation Duration_39_2_car-inside.png_face_Stdev	First Fixation Duration_39_2_car-inside.png_Rectangle 2_N	First Fixation Duration_39_2_car-inside.png_Rectangle 2_Mean	First Fixation Duration_39_2_car-inside.png_Rectangle 2_Max	First Fixation Duration_39_2_car-inside.png_Rectangle 2_Min	First Fixation Duration_39_2_car-inside.png_Rectangle 2_Sum	First Fixation Duration_39_2_car-inside.png_Rectangle 2_Median	First Fixation Duration_39_2_car-inside.png_Rectangle 2_Stdev	First Fixation Duration_39_2_car-inside.png_Not on AOI_N	First Fixation Duration_39_2_car-inside.png_Not on AOI_Mean	First Fixation Duration_39_2_car-inside.png_Not on AOI_Max	First Fixation Duration_39_2_car-inside.png_Not on AOI_Min	First Fixation Duration_39_2_car-inside.png_Not on AOI_Sum	First Fixation Duration_39_2_car-inside.png_Not on AOI_Median	First Fixation Duration_39_2_car-inside.png_Not on AOI_Stdev	First Fixation Duration_54_6_bag.png_face_N	First Fixation Duration_54_6_bag.png_face_Mean	First Fixation Duration_54_6_bag.png_face_Max	First Fixation Duration_54_6_bag.png_face_Min	First Fixation Duration_54_6_bag.png_face_Sum	First Fixation Duration_54_6_bag.png_face_Median	First Fixation Duration_54_6_bag.png_face_Stdev	First Fixation Duration_54_6_bag.png_Rectangle 2_N	First Fixation Duration_54_6_bag.png_Rectangle 2_Mean	First Fixation Duration_54_6_bag.png_Rectangle 2_Max	First Fixation Duration_54_6_bag.png_Rectangle 2_Min	First Fixation Duration_54_6_bag.png_Rectangle 2_Sum	First Fixation Duration_54_6_bag.png_Rectangle 2_Median	First Fixation Duration_54_6_bag.png_Rectangle 2_Stdev	First Fixation Duration_54_6_bag.png_Not on AOI_N	First Fixation Duration_54_6_bag.png_Not on AOI_Mean	First Fixation Duration_54_6_bag.png_Not on AOI_Max	First Fixation Duration_54_6_bag.png_Not on AOI_Min	First Fixation Duration_54_6_bag.png_Not on AOI_Sum	First Fixation Duration_54_6_bag.png_Not on AOI_Median	First Fixation Duration_54_6_bag.png_Not on AOI_Stdev	First Fixation Duration_57_9_furniture.png_face_N	First Fixation Duration_57_9_furniture.png_face_Mean	First Fixation Duration_57_9_furniture.png_face_Max	First Fixation Duration_57_9_furniture.png_face_Min	First Fixation Duration_57_9_furniture.png_face_Sum	First Fixation Duration_57_9_furniture.png_face_Median	First Fixation Duration_57_9_furniture.png_face_Stdev	First Fixation Duration_57_9_furniture.png_Rectangle 2_N	First Fixation Duration_57_9_furniture.png_Rectangle 2_Mean	First Fixation Duration_57_9_furniture.png_Rectangle 2_Max	First Fixation Duration_57_9_furniture.png_Rectangle 2_Min	First Fixation Duration_57_9_furniture.png_Rectangle 2_Sum	First Fixation Duration_57_9_furniture.png_Rectangle 2_Median	First Fixation Duration_57_9_furniture.png_Rectangle 2_Stdev	First Fixation Duration_57_9_furniture.png_Rectangle 3_N	First Fixation Duration_57_9_furniture.png_Rectangle 3_Mean	First Fixation Duration_57_9_furniture.png_Rectangle 3_Max	First Fixation Duration_57_9_furniture.png_Rectangle 3_Min	First Fixation Duration_57_9_furniture.png_Rectangle 3_Sum	First Fixation Duration_57_9_furniture.png_Rectangle 3_Median	First Fixation Duration_57_9_furniture.png_Rectangle 3_Stdev	First Fixation Duration_57_9_furniture.png_Not on AOI_N	First Fixation Duration_57_9_furniture.png_Not on AOI_Mean	First Fixation Duration_57_9_furniture.png_Not on AOI_Max	First Fixation Duration_57_9_furniture.png_Not on AOI_Min	First Fixation Duration_57_9_furniture.png_Not on AOI_Sum	First Fixation Duration_57_9_furniture.png_Not on AOI_Median	First Fixation Duration_57_9_furniture.png_Not on AOI_Stdev
P016	1	0,19	0,19	0,19	0,19	0,19	-	1	0,43	0,43	0,43	0,43	0,43	-	1	0,18	0,18	0,18	0,18	0,18	-	1	0,37	0,37	0,37	0,37	0,37	-	1	0,22	0,22	0,22	0,22	0,22	-	1	0,19	0,19	0,19	0,19	0,19	-	1	1,02	1,02	1,02	1,02	1,02	-	1	0,20	0,20	0,20	0,20	0,20	-	1	0,01	0,01	0,01	0,01	0,01	-	1	0,18	0,18	0,18	0,18	0,18	-	-	-	-	-	-	-	-	1	0,04	0,04	0,04	0,04	0,04	-	1	0,18	0,18	0,18	0,18	0,18	-	1	0,06	0,06	0,06	0,06	0,06	-	-	-	-	-	-	-	-	1	0,16	0,16	0,16	0,16	0,16	-	1	1,59	1,59	1,59	1,59	1,59	-	1	0,20	0,20	0,20	0,20	0,20	-	1	0,21	0,21	0,21	0,21	0,21	-	1	0,24	0,24	0,24	0,24	0,24	-	-	-	-	-	-	-	-	1	0,17	0,17	0,17	0,17	0,17	-	1	0,13	0,13	0,13	0,13	0,13	-	1	0,16	0,16	0,16	0,16	0,16	-	1	0,14	0,14	0,14	0,14	0,14	-	1	0,17	0,17	0,17	0,17	0,17	-	1	0,13	0,13	0,13	0,13	0,13	-	1	0,23	0,23	0,23	0,23	0,23	-	1	0,12	0,12	0,12	0,12	0,12	-	1	0,17	0,17	0,17	0,17	0,17	-	1	0,16	0,16	0,16	0,16	0,16	-
P017	-	-	-	-	-	-	-	1	0,01	0,01	0,01	0,01	0,01	-	1	0,02	0,02	0,02	0,02	0,02	-	1	0,01	0,01	0,01	0,01	0,01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0,72	0,72	0,72	0,72	0,72	-	1	0,28	0,28	0,28	0,28	0,28	-	1	0,01	0,01	0,01	0,01	0,01	-	1	0,32	0,32	0,32	0,32	0,32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0,17	0,17	0,17	0,17	0,17	-	1	0,01	0,01	0,01	0,01	0,01	-	1	0,24	0,24	0,24	0,24	0,24	-	1	0,13	0,13	0,13	0,13	0,13	-	1	0,34	0,34	0,34	0,34	0,34	-	1	0,09	0,09	0,09	0,09	0,09	-	1	0,27	0,27	0,27	0,27	0,27	-	1	0,24	0,24	0,24	0,24	0,24	-	-	-	-	-	-	-	-	1	0,27	0,27	0,27	0,27	0,27	-	-	-	-	-	-	-	-	1	0,15	0,15	0,15	0,15	0,15	-	-	-	-	-	-	-	-	1	0,11	0,11	0,11	0,11	0,11	-	1	0,11	0,11	0,11	0,11	0,11	-	1	0,07	0,07	0,07	0,07	0,07	-	1	0,37	0,37	0,37	0,37	0,37	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
P018	1	0,21	0,21	0,21	0,21	0,21	-	1	0,38	0,38	0,38	0,38	0,38	-	1	0,23	0,23	0,23	0,23	0,23	-	1	0,44	0,44	0,44	0,44	0,44	-	1	0,20	0,20	0,20	0,20	0,20	-	1	0,23	0,23	0,23	0,23	0,23	-	1	0,07	0,07	0,07	0,07	0,07	-	1	0,74	0,74	0,74	0,74	0,74	-	1	0,09	0,09	0,09	0,09	0,09	-	1	0,39	0,39	0,39	0,39	0,39	-	-	-	-	-	-	-	-	1	0,19	0,19	0,19	0,19	0,19	-	1	0,19	0,19	0,19	0,19	0,19	-	1	0,22	0,22	0,22	0,22	0,22	-	1	0,20	0,20	0,20	0,20	0,20	-	1	0,42	0,42	0,42	0,42	0,42	-	1	1,43	1,43	1,43	1,43	1,43	-	1	0,21	0,21	0,21	0,21	0,21	-	1	0,16	0,16	0,16	0,16	0,16	-	1	0,33	0,33	0,33	0,33	0,33	-	1	0,20	0,20	0,20	0,20	0,20	-	1	0,44	0,44	0,44	0,44	0,44	-	1	0,32	0,32	0,32	0,32	0,32	-	1	0,20	0,20	0,20	0,20	0,20	-	1	0,24	0,24	0,24	0,24	0,24	-	1	0,39	0,39	0,39	0,39	0,39	-	1	0,22	0,22	0,22	0,22	0,22	-	1	0,40	0,40	0,40	0,40	0,40	-	1	0,17	0,17	0,17	0,17	0,17	-	1	0,24	0,24	0,24	0,24	0,24	-	1	0,24	0,24	0,24	0,24	0,24	-
P019	1	0,19	0,19	0,19	0,19	0,19	-	-	-	-	-	-	-	-	1	0,20	0,20	0,20	0,20	0,20	-	1	0,42	0,42	0,42	0,42	0,42	-	1	0,21	0,21	0,21	0,21	0,21	-	1	0,13	0,13	0,13	0,13	0,13	-	1	0,41	0,41	0,41	0,41	0,41	-	-	-	-	-	-	-	-	1	0,21	0,21	0,21	0,21	0,21	-	1	3,86	3,86	3,86	3,86	3,86	-	-	-	-	-	-	-	-	1	0,16	0,16	0,16	0,16	0,16	-	1	0,22	0,22	0,22	0,22	0,22	-	1	0,19	0,19	0,19	0,19	0,19	-	1	0,19	0,19	0,19	0,19	0,19	-	1	0,33	0,33	0,33	0,33	0,33	-	1	0,39	0,39	0,39	0,39	0,39	-	1	0,18	0,18	0,18	0,18	0,18	-	1	0,23	0,23	0,23	0,23	0,23	-	1	0,36	0,36	0,36	0,36	0,36	-	1	0,28	0,28	0,28	0,28	0,28	-	1	0,24	0,24	0,24	0,24	0,24	-	1	0,38	0,38	0,38	0,38	0,38	-	1	0,17	0,17	0,17	0,17	0,17	-	1	0,17	0,17	0,17	0,17	0,17	-	1	0,26	0,26	0,26	0,26	0,26	-	1	0,16	0,16	0,16	0,16	0,16	-	1	0,27	0,27	0,27	0,27	0,27	-	1	0,22	0,22	0,22	0,22	0,22	-	-	-	-	-	-	-	-	1	0,20	0,20	0,20	0,20	0,20	-
P020	1	0,17	0,17	0,17	0,17	0,17	-	1	0,39	0,39	0,39	0,39	0,39	-	1	0,11	0,11	0,11	0,11	0,11	-	1	0,18	0,18	0,18	0,18	0,18	-	1	0,21	0,21	0,21	0,21	0,21	-	1	0,19	0,19	0,19	0,19	0,19	-	1	0,22	0,22	0,22	0,22	0,22	-	-	-	-	-	-	-	-	1	0,18	0,18	0,18	0,18	0,18	-	1	0,62	0,62	0,62	0,62	0,62	-	-	-	-	-	-	-	-	1	0,17	0,17	0,17	0,17	0,17	-	1	0,17	0,17	0,17	0,17	0,17	-	1	0,26	0,26	0,26	0,26	0,26	-	1	0,17	0,17	0,17	0,17	0,17	-	1	0,88	0,88	0,88	0,88	0,88	-	1	0,25	0,25	0,25	0,25	0,25	-	1	0,18	0,18	0,18	0,18	0,18	-	1	0,32	0,32	0,32	0,32	0,32	-	1	0,09	0,09	0,09	0,09	0,09	-	1	0,09	0,09	0,09	0,09	0,09	-	1	0,27	0,27	0,27	0,27	0,27	-	1	0,39	0,39	0,39	0,39	0,39	-	1	0,09	0,09	0,09	0,09	0,09	-	1	0,19	0,19	0,19	0,19	0,19	-	1	0,26	0,26	0,26	0,26	0,26	-	1	0,19	0,19	0,19	0,19	0,19	-	1	0,40	0,40	0,40	0,40	0,40	-	1	0,52	0,52	0,52	0,52	0,52	-	1	0,23	0,23	0,23	0,23	0,23	-	1	0,18	0,18	0,18	0,18	0,18	-
P021	1	1,29	1,29	1,29	1,29	1,29	-	1	0,95	0,95	0,95	0,95	0,95	-	1	0,02	0,02	0,02	0,02	0,02	-	1	0,26	0,26	0,26	0,26	0,26	-	1	0,71	0,71	0,71	0,71	0,71	-	1	0,20	0,20	0,20	0,20	0,20	-	1	0,41	0,41	0,41	0,41	0,41	-	-	-	-	-	-	-	-	1	0,24	0,24	0,24	0,24	0,24	-	1	0,70	0,70	0,70	0,70	0,70	-	-	-	-	-	-	-	-	1	0,17	0,17	0,17	0,17	0,17	-	1	0,10	0,10	0,10	0,10	0,10	-	1	0,39	0,39	0,39	0,39	0,39	-	1	0,21	0,21	0,21	0,21	0,21	-	1	0,98	0,98	0,98	0,98	0,98	-	1	0,17	0,17	0,17	0,17	0,17	-	1	0,18	0,18	0,18	0,18	0,18	-	1	0,29	0,29	0,29	0,29	0,29	-	1	0,46	0,46	0,46	0,46	0,46	-	1	0,46	0,46	0,46	0,46	0,46	-	1	0,43	0,43	0,43	0,43	0,43	-	1	0,43	0,43	0,43	0,43	0,43	-	1	0,14	0,14	0,14	0,14	0,14	-	1	0,25	0,25	0,25	0,25	0,25	-	1	0,61	0,61	0,61	0,61	0,61	-	1	0,28	0,28	0,28	0,28	0,28	-	1	0,12	0,12	0,12	0,12	0,12	-	-	-	-	-	-	-	-	1	0,27	0,27	0,27	0,27	0,27	-	1	0,19	0,19	0,19	0,19	0,19	-
P022	1	0,05	0,05	0,05	0,05	0,05	-	1	0,08	0,08	0,08	0,08	0,08	-	1	0,13	0,13	0,13	0,13	0,13	-	1	0,29	0,29	0,29	0,29	0,29	-	1	0,06	0,06	0,06	0,06	0,06	-	1	0,22	0,22	0,22	0,22	0,22	-	1	0,21	0,21	0,21	0,21	0,21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0,28	0,28	0,28	0,28	0,28	-	-	-	-	-	-	-	-	1	0,10	0,10	0,10	0,10	0,10	-	1	0,20	0,20	0,20	0,20	0,20	-	1	0,18	0,18	0,18	0,18	0,18	-	-	-	-	-	-	-	-	1	0,24	0,24	0,24	0,24	0,24	-	-	-	-	-	-	-	-	1	0,22	0,22	0,22	0,22	0,22	-	1	0,27	0,27	0,27	0,27	0,27	-	1	0,22	0,22	0,22	0,22	0,22	-	1	0,29	0,29	0,29	0,29	0,29	-	1	0,29	0,29	0,29	0,29	0,29	-	1	0,28	0,28	0,28	0,28	0,28	-	1	0,11	0,11	0,11	0,11	0,11	-	1	0,36	0,36	0,36	0,36	0,36	-	-	-	-	-	-	-	-	1	0,21	0,21	0,21	0,21	0,21	-	1	0,37	0,37	0,37	0,37	0,37	-	1	0,25	0,25	0,25	0,25	0,25	-	1	0,53	0,53	0,53	0,53	0,53	-	1	0,09	0,09	0,09	0,09	0,09	-
P023	1	0,23	0,23	0,23	0,23	0,23	-	1	2,26	2,26	2,26	2,26	2,26	-	1	0,16	0,16	0,16	0,16	0,16	-	1	0,20	0,20	0,20	0,20	0,20	-	-	-	-	-	-	-	-	1	0,25	0,25	0,25	0,25	0,25	-	1	0,08	0,08	0,08	0,08	0,08	-	1	0,44	0,44	0,44	0,44	0,44	-	1	0,19	0,19	0,19	0,19	0,19	-	1	0,27	0,27	0,27	0,27	0,27	-	-	-	-	-	-	-	-	1	0,15	0,15	0,15	0,15	0,15	-	1	0,52	0,52	0,52	0,52	0,52	-	1	0,37	0,37	0,37	0,37	0,37	-	1	0,20	0,20	0,20	0,20	0,20	-	1	0,84	0,84	0,84	0,84	0,84	-	1	0,20	0,20	0,20	0,20	0,20	-	1	0,17	0,17	0,17	0,17	0,17	-	1	0,27	0,27	0,27	0,27	0,27	-	1	0,26	0,26	0,26	0,26	0,26	-	1	0,11	0,11	0,11	0,11	0,11	-	1	0,34	0,34	0,34	0,34	0,34	-	1	0,30	0,30	0,30	0,30	0,30	-	1	0,17	0,17	0,17	0,17	0,17	-	1	0,36	0,36	0,36	0,36	0,36	-	1	0,19	0,19	0,19	0,19	0,19	-	1	0,26	0,26	0,26	0,26	0,26	-	1	0,01	0,01	0,01	0,01	0,01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0,09	0,09	0,09	0,09	0,09	-
P024	1	0,42	0,42	0,42	0,42	0,42	-	1	0,20	0,20	0,20	0,20	0,20	-	1	0,19	0,19	0,19	0,19	0,19	-	1	0,26	0,26	0,26	0,26	0,26	-	-	-	-	-	-	-	-	1	0,20	0,20	0,20	0,20	0,20	-	1	0,38	0,38	0,38	0,38	0,38	-	1	0,41	0,41	0,41	0,41	0,41	-	1	0,28	0,28	0,28	0,28	0,28	-	1	0,26	0,26	0,26	0,26	0,26	-	-	-	-	-	-	-	-	1	0,01	0,01	0,01	0,01	0,01	-	1	0,19	0,19	0,19	0,19	0,19	-	-	-	-	-	-	-	-	1	0,23	0,23	0,23	0,23	0,23	-	1	0,25	0,25	0,25	0,25	0,25	-	1	0,26	0,26	0,26	0,26	0,26	-	1	0,19	0,19	0,19	0,19	0,19	-	1	0,54	0,54	0,54	0,54	0,54	-	1	0,20	0,20	0,20	0,20	0,20	-	1	0,22	0,22	0,22	0,22	0,22	-	1	0,33	0,33	0,33	0,33	0,33	-	1	0,23	0,23	0,23	0,23	0,23	-	1	0,20	0,20	0,20	0,20	0,20	-	1	0,27	0,27	0,27	0,27	0,27	-	-	-	-	-	-	-	-	1	0,20	0,20	0,20	0,20	0,20	-	1	0,16	0,16	0,16	0,16	0,16	-	1	0,27	0,27	0,27	0,27	0,27	-	1	0,32	0,32	0,32	0,32	0,32	-	1	0,20	0,20	0,20	0,20	0,20	-
P025	1	0,39	0,39	0,39	0,39	0,39	-	1	0,24	0,24	0,24	0,24	0,24	-	1	0,33	0,33	0,33	0,33	0,33	-	1	0,30	0,30	0,30	0,30	0,30	-	1	0,31	0,31	0,31	0,31	0,31	-	1	0,13	0,13	0,13	0,13	0,13	-	1	0,44	0,44	0,44	0,44	0,44	-	-	-	-	-	-	-	-	1	0,26	0,26	0,26	0,26	0,26	-	1	0,38	0,38	0,38	0,38	0,38	-	-	-	-	-	-	-	-	1	0,16	0,16	0,16	0,16	0,16	-	1	0,40	0,40	0,40	0,40	0,40	-	1	0,42	0,42	0,42	0,42	0,42	-	1	0,10	0,10	0,10	0,10	0,10	-	1	0,46	0,46	0,46	0,46	0,46	-	-	-	-	-	-	-	-	1	0,16	0,16	0,16	0,16	0,16	-	1	0,42	0,42	0,42	0,42	0,42	-	1	0,70	0,70	0,70	0,70	0,70	-	1	0,16	0,16	0,16	0,16	0,16	-	1	0,69	0,69	0,69	0,69	0,69	-	1	0,47	0,47	0,47	0,47	0,47	-	1	0,19	0,19	0,19	0,19	0,19	-	1	0,32	0,32	0,32	0,32	0,32	-	1	0,22	0,22	0,22	0,22	0,22	-	1	0,18	0,18	0,18	0,18	0,18	-	1	0,59	0,59	0,59	0,59	0,59	-	1	0,17	0,17	0,17	0,17	0,17	-	1	0,27	0,27	0,27	0,27	0,27	-	1	0,28	0,28	0,28	0,28	0,28	-
